receipt number,PD,notice date,days,month
src2090386460,2020-07-24 00:00:00,2022-01-13 00:00:00,538,22-Jan
src2190236377,2021-05-20 00:00:00,2022-01-13 00:00:00,238,22-Jan
src2190238702,2021-05-24 00:00:00,2022-01-13 00:00:00,234,22-Jan
src2190183220,2021-02-23 00:00:00,2022-01-13 00:00:00,324,22-Jan
src2190165793,2021-01-21 00:00:00,2022-01-13 00:00:00,357,22-Jan
src2290039640,2021-12-09 00:00:00,2022-01-13 00:00:00,35,22-Jan
src2190230781,2021-05-13 00:00:00,2022-01-14 00:00:00,246,22-Jan
src2190179758,2021-02-19 00:00:00,2022-01-06 00:00:00,321,22-Jan
src2190229635,2021-05-11 00:00:00,2022-01-06 00:00:00,240,22-Jan
src2190254318,2021-06-17 00:00:00,2022-01-06 00:00:00,203,22-Jan
src2190213841,2021-04-16 00:00:00,2022-01-06 00:00:00,265,22-Jan
src2190187909,2021-03-02 00:00:00,2022-01-06 00:00:00,310,22-Jan
src2190187910,2021-03-02 00:00:00,2022-01-07 00:00:00,311,22-Jan
src2190227076,2021-05-06 00:00:00,2022-01-07 00:00:00,246,22-Jan
src2190265342,2021-07-06 00:00:00,2022-01-07 00:00:00,185,22-Jan
src2190233519,2021-05-14 00:00:00,2022-01-07 00:00:00,238,22-Jan
src2190251055,2021-06-11 00:00:00,2022-01-07 00:00:00,210,22-Jan
src2190240642,2021-05-28 00:00:00,2022-01-07 00:00:00,224,22-Jan
src2190271134,2021-07-13 00:00:00,2022-01-07 00:00:00,178,22-Jan
src2190246211,2021-06-07 00:00:00,2022-01-07 00:00:00,214,22-Jan
src2190149105,2020-12-21 00:00:00,2022-01-07 00:00:00,382,22-Jan
src2190260458,2021-06-28 00:00:00,2022-01-07 00:00:00,193,22-Jan
src2190282438,2021-07-29 00:00:00,2022-01-07 00:00:00,162,22-Jan
src2190265341,2021-07-06 00:00:00,2022-01-07 00:00:00,185,22-Jan
src2190186909,2021-03-01 00:00:00,2022-01-10 00:00:00,315,22-Jan
src2190221630,2021-04-29 00:00:00,2022-01-10 00:00:00,256,22-Jan
src2190151641,2020-12-29 00:00:00,2022-01-10 00:00:00,377,22-Jan
src2190283092,2021-07-29 00:00:00,2022-01-10 00:00:00,165,22-Jan
src2190186934,2021-03-01 00:00:00,2022-01-10 00:00:00,315,22-Jan
src2190250444,2021-06-11 00:00:00,2022-01-14 00:00:00,217,22-Jan
src2090189478,2020-02-24 00:00:00,2022-01-14 00:00:00,690,22-Jan
src2190250435,2021-06-11 00:00:00,2022-01-14 00:00:00,217,22-Jan
